course_id,title,category,subcategory,difficulty,duration_hours,instructor,description,prerequisites,tags,rating,total_enrollments,completion_rate
C001,Introduction to Python Programming,Programming,Python,Beginner,25,Dr. Anil Kumar,Learn Python basics including variables data types loops and functions,None,python basics programming fundamentals,4.5,1250,78.5
C002,Advanced Python and OOP,Programming,Python,Advanced,40,Dr. Anil Kumar,Master object-oriented programming design patterns and advanced Python concepts,C001,python oop design-patterns advanced,4.7,680,71.2
C003,Data Structures and Algorithms,Programming,DSA,Intermediate,50,Prof. Sunita Rao,Comprehensive coverage of arrays linked lists trees graphs and algorithms,C001,dsa algorithms data-structures,4.6,920,65.8
C004,Machine Learning Fundamentals,Data Science,ML,Intermediate,45,Dr. Rajesh Verma,Introduction to supervised and unsupervised learning algorithms,C001 C008,machine-learning supervised unsupervised,4.8,1100,68.4
C005,Deep Learning with TensorFlow,Data Science,DL,Advanced,55,Dr. Rajesh Verma,Neural networks CNNs RNNs and deep learning architectures,C004,deep-learning tensorflow neural-networks,4.7,520,58.9
C006,Natural Language Processing,Data Science,NLP,Advanced,50,Dr. Meena Sharma,Text processing sentiment analysis and language models,C004,nlp text-processing sentiment-analysis,4.6,480,55.2
C007,Computer Vision Basics,Data Science,CV,Intermediate,40,Dr. Meena Sharma,Image processing object detection and visual recognition,C004,computer-vision image-processing opencv,4.5,560,62.1
C008,Statistics for Data Science,Mathematics,Statistics,Beginner,30,Prof. Kavitha Menon,Probability distributions hypothesis testing and statistical inference,None,statistics probability data-analysis,4.4,1450,82.3
C009,Linear Algebra Essentials,Mathematics,Algebra,Intermediate,35,Prof. Kavitha Menon,Matrices vectors eigenvalues and their applications in ML,None,linear-algebra matrices vectors,4.3,890,70.5
C010,Calculus for Machine Learning,Mathematics,Calculus,Intermediate,38,Prof. Ravi Shankar,Derivatives integrals and optimization for ML applications,None,calculus optimization gradients,4.2,720,67.8
C011,SQL and Database Fundamentals,Database,SQL,Beginner,28,Dr. Priya Nair,Relational databases SQL queries and database design,None,sql database relational-db,4.6,1680,85.4
C012,NoSQL and MongoDB,Database,NoSQL,Intermediate,32,Dr. Priya Nair,Document databases MongoDB operations and schema design,C011,nosql mongodb document-db,4.4,590,72.1
