rating_id,student_id,course_id,rating_date,rating,review_text,difficulty_rating,content_quality,instructor_rating,would_recommend
R0001,S009,C015,2024-03-29,3,Học xong có thêm kiến thức nhưng chưa sâu.,1,4,2,True
R0002,S067,C028,2024-03-17,5,"Khóa học tuyệt vời, highly recommend.",5,1,4,True
R0003,S026,C005,2024-03-21,5,"Nội dung chi tiết, rõ ràng và thực tế.",3,3,1,True
R0004,S014,C004,2024-02-05,2,"Trải nghiệm học không tốt, cần cải thiện.",4,5,5,False
R0005,S083,C025,2024-03-11,4,"Rất đáng học, mình áp dụng được ngay vào công việc.",4,2,1,True
R0006,S066,C005,2024-02-07,2,Chất lượng bài giảng chưa tốt.,3,3,5,False
R0007,S078,C017,2024-01-17,2,Mình không hài lòng với khóa học này.,2,5,2,False
R0008,S033,C012,2024-03-11,4,"Nội dung chi tiết, rõ ràng và thực tế.",5,1,4,True
R0009,S082,C021,2024-01-12,2,Khóa học chưa đáp ứng được kỳ vọng.,4,3,1,False
R0010,S028,C013,2024-01-07,1,"Trải nghiệm học không tốt, cần cải thiện.",5,2,4,False
R0011,S010,C031,2024-02-09,4,"Nội dung chi tiết, rõ ràng và thực tế.",4,2,1,True
R0012,S008,C014,2024-03-29,5,"Khóa học tuyệt vời, highly recommend.",5,2,4,True
R0013,S088,C013,2024-03-14,1,Mình không hài lòng với khóa học này.,1,2,4,False
R0014,S011,C027,2024-03-14,5,"Rất đáng học, mình áp dụng được ngay vào công việc.",5,4,2,True
R0015,S100,C012,2024-01-12,3,Nội dung khá tốt nhưng chưa thật sự nổi bật.,2,3,1,False
R0016,S021,C024,2024-03-27,4,"Khóa học rất hay và hữu ích, mình học được nhiều kiến thức.",1,4,1,True
R0017,S101,C022,2024-03-20,1,Khóa học chưa đáp ứng được kỳ vọng.,1,1,5,False
R0018,S018,C001,2024-02-12,3,Học xong có thêm kiến thức nhưng chưa sâu.,3,1,5,False
R0019,S054,C005,2024-03-02,5,"Khóa học rất hay và hữu ích, mình học được nhiều kiến thức.",2,5,5,True
R0020,S018,C028,2024-02-16,3,Nội dung khá tốt nhưng chưa thật sự nổi bật.,1,2,4,True
R0021,S080,C029,2024-02-05,4,"Khóa học tuyệt vời, highly recommend.",5,2,4,True
R0022,S050,C004,2024-02-11,5,"Giảng viên dạy dễ hiểu, nội dung chất lượng cao.",4,3,1,True
R0023,S096,C024,2024-03-09,5,"Khóa học rất hay và hữu ích, mình học được nhiều kiến thức.",1,2,1,True
R0024,S007,C010,2024-03-23,3,"Khóa học ổn, nhưng vẫn có thể cải thiện thêm.",1,5,5,True
R0025,S044,C010,2024-02-23,5,"Giảng viên dạy dễ hiểu, nội dung chất lượng cao.",1,2,3,True
R0026,S036,C009,2024-02-25,3,Nội dung khá tốt nhưng chưa thật sự nổi bật.,5,3,5,False
R0027,S097,C027,2024-03-10,2,Chất lượng bài giảng chưa tốt.,5,5,5,False
R0028,S080,C003,2024-01-05,3,Nội dung khá tốt nhưng chưa thật sự nổi bật.,3,1,1,False
R0029,S045,C031,2024-03-01,2,Chất lượng bài giảng chưa tốt.,3,5,3,False
R0030,S092,C022,2024-02-16,1,Nội dung chưa rõ ràng và hơi khó hiểu.,5,3,3,False
R0031,S070,C035,2024-03-11,4,"Giảng viên dạy dễ hiểu, nội dung chất lượng cao.",5,4,1,True
