question_id,course_id,quiz_title,question_number,question_text,option_a,option_b,option_c,option_d,correct_answer,difficulty,points
Q001,C001,Python Basics Quiz 1,1,What is the correct file extension for Python files?,".py",".python",".pt",".p","A","Beginner",5
Q002,C001,Python Basics Quiz 1,2,Which of the following is a correct variable name in Python?,"1variable","variable_1","variable-1","variable 1","B","Beginner",5
Q003,C001,Python Basics Quiz 1,3,What is the output of: print(type(5)),"<class 'int'>","<class 'float'>","<class 'str'>","<class 'number'>","A","Beginner",5
Q004,C001,Python Basics Quiz 1,4,"Which function is used to get input from the user?","input()","get()","scan()","read()","A","Beginner",5
Q005,C001,Python Basics Quiz 1,5,What does the len() function do?,Returns the length of an object,Returns the last element,Deletes an element,Creates a new list,"A","Beginner",5
Q006,C001,Python Basics Quiz 1,6,"What is the output of: print(3 + 2 * 2)","10","7","14","8","B","Beginner",5
Q007,C001,Python Basics Quiz 1,7,Which operator is used for exponentiation in Python?,"^","**","exp()","pow","B","Beginner",5
Q008,C001,Python Basics Quiz 1,8,How do you create a comment in Python?,# This is a comment,// This is a comment,/* This is a comment */,-- This is a comment,"A","Beginner",5
Q009,C001,Python Basics Quiz 1,9,"What is the correct way to create a string in Python?","'Hello'","Both A and B","""Hello""","All of the above","D","Beginner",5
Q010,C001,Python Basics Quiz 1,10,Which keyword is used to define a function?,def,function,func,define,"A","Beginner",5
Q011,C001,Python Basics Quiz 1,11,What is the output of: bool(0)?,True,False,0,Error,"B","Beginner",5
Q012,C001,Python Basics Quiz 1,12,Which of these is NOT a Python data type?,int,real,float,str,"B","Beginner",5
Q013,C001,Python Basics Quiz 1,13,How do you create a list in Python?,"list = []","list = ()","list = {}","list = <>","A","Beginner",5
Q014,C001,Python Basics Quiz 1,14,"What is the output of: print('Hello' + 'World')","Hello World","HelloWorld","Error","Hello+World","B","Beginner",5
Q015,C001,Python Basics Quiz 1,15,Which method adds an element at the end of a list?,"append()","add()","insert()","push()","A","Beginner",5
Q016,C001,Python Basics Quiz 1,16,What is the correct syntax for an if statement?,"if x > 5:","if (x > 5)","if x > 5 then:","if x > 5 {}","A","Beginner",5
Q017,C001,Python Basics Quiz 1,17,How do you create a dictionary in Python?,"dict = {}","dict = []","dict = ()","dict = <>","A","Beginner",5
